month,mean_calls_per_hour
1,5.62929061784897
2,5.2727272727272725
3,5.762569832402234
4,5.972027972027972
5,4.8951219512195125
6,4.081871345029239
7,3.6465968586387434
8,7.67948717948718
9,5.745901639344262
10,7.153392330383481
11,4.808126410835214
12,6.242811501597444
