hour_bucket,mean_calls
5,2.5825242718446604
6,5.6171875
7,5.907608695652174
8,5.5854430379746836
9,5.8419618528610355
10,5.676966292134831
11,5.228813559322034
12,5.318435754189944
13,5.137142857142857
14,5.4124293785310735
15,5.834319526627219
16,5.482866043613707
17,5.569148936170213
18,3.014705882352941
