location,male,female,duet,individual
TF_2,0.7402,0.4023,0.2238,1.1425
TF_6,0.6609,0.386,0.2273,1.0469
TF_5,0.6378,0.3575,0.1781,0.9953
TF_1,0.6576,0.2805,0.1518,0.9381
TF_4,0.412,0.1857,0.0331,0.5977
TF_3,0.314,0.1783,0.0817,0.4923
TOTAL,0.5704,0.2984,0.1493,0.8688
