variable,mean,min,median,max
calls,4.5676701925684835,0,4.0,33
male,3.580553295362083,0,3.0,29
female,0.9871168972064008,0,0.0,12
duet,0.44426362896663957,0,0.0,9
hour_bucket,,2021-10-28T07:00:00.0,,2023-11-01T16:00:00.0
