Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives
N14,101,8,15,139,10
CB11,81,9,5,100,15
S13T,72,8,7,94,16
S23,79,3,2,86,16
V04,58,11,7,83,5
N08M,46,1,1,49,7
A11,43,0,1,45,7
W20,10,1,4,19,12
W04,16,1,0,17,6
J06,3,0,0,3,4
TOTAL,509,42,42,635,98
