location,male,female,duet,individual
C05,0.5021,0.1139,0.0928,0.616
M02,0.1429,0.0798,0.0252,0.2227
CB11,0.1055,0.0084,0.0,0.1139
TOTAL,0.2502,0.0674,0.0393,0.3175
