variable,mean,min,median,max
calls,4.786271450858035,0,4.0,25
male,3.6739469578783153,0,3.0,19
female,1.1123244929797191,0,1.0,9
duet,0.45553822152886114,0,0.0,9
hour_bucket,,2023-02-17T08:00:00.0,2023-03-16T11:00:00.0,2023-04-14T16:00:00.0
