Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives,Close,Low_Noise
F09,442,59,77,655,36,43,120
G05,428,40,74,616,52,56,122
C05,402,58,49,558,57,28,98
H04,216,82,70,438,46,52,84
N20,199,55,53,360,100,83,102
M04,149,88,59,355,129,49,80
D09,235,33,22,312,85,24,63
F05,234,8,10,262,51,3,26
V05,109,19,34,196,39,7,34
CB11,103,11,7,128,22,13,26
V23,59,34,14,121,273,23,28
S13T,54,27,11,103,91,15,23
NB5T,41,0,19,79,35,9,21
NB14,41,21,8,78,100,8,15
D05,36,7,4,51,3,2,14
K09,24,6,3,36,176,8,9
N14,19,1,6,32,5,4,7
KS06,9,7,7,30,29,3,7
TOTAL,2800,556,527,4410,1329,430,879
