location,male,female,duet,individual
C05,0.7673,0.283,0.1698,1.0503
F10,0.7002,0.3061,0.1824,1.0063
D03,0.8805,0.0273,0.0252,0.9078
M04,0.4256,0.1782,0.0901,0.6038
N14,0.2862,0.0899,0.0483,0.3761
D09,0.2746,0.0482,0.0063,0.3228
G05,0.2495,0.0314,0.0084,0.2809
H04,0.1761,0.0252,0.0042,0.2013
NB14,0.1614,0.0335,0.0168,0.1949
TOTAL,0.4357,0.1136,0.0613,0.5494
