location,male,female,duet,individual
D03,0.777,0.0252,0.0162,0.8022
C05,0.4493,0.2047,0.0761,0.654
F10,0.3818,0.1473,0.0618,0.5291
G05,0.3889,0.0699,0.0376,0.4588
M04,0.277,0.1079,0.0486,0.3849
H04,0.2932,0.054,0.0432,0.3472
D09,0.1818,0.0473,0.0091,0.2291
NB14,0.1236,0.0364,0.0182,0.16
N20,0.0782,0.0527,0.0164,0.1309
N14,0.079,0.0286,0.005,0.1076
TOTAL,0.303,0.0774,0.0332,0.3804
