Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives,Close,Low_Noise
F09,583,66,91,831,41,49,173
C05,530,52,49,680,42,60,162
H04,255,54,48,405,54,57,120
N20,214,20,46,326,34,53,120
M04,132,63,41,277,41,41,58
D03,138,20,50,258,24,51,58
N14,94,34,51,230,59,38,60
D09,155,32,11,209,67,20,37
WD05,177,1,1,180,53,26,64
T10,107,20,15,157,19,5,17
F05,149,2,2,155,57,13,31
K09,40,26,9,84,11,8,25
S13T,48,32,1,82,15,7,23
KS06,32,15,11,69,8,21,23
E07,55,0,4,63,4,7,11
J11,25,2,3,33,11,9,16
A11,7,1,0,8,2,0,2
TOTAL,2741,440,433,4047,542,465,1000
