location,male,female,duet,individual
G05,0.8027,0.0489,0.027,0.8516
H04,0.6054,0.0607,0.0455,0.6661
D03,0.6442,0.0169,0.0084,0.6611
C05,0.4224,0.1653,0.0651,0.5877
N14,0.4307,0.0868,0.0451,0.5175
M04,0.344,0.1501,0.0607,0.4941
D09,0.3606,0.0801,0.0234,0.4407
F10,0.2437,0.0885,0.0301,0.3322
A05,0.0935,0.0,0.0,0.0935
TOTAL,0.4386,0.0775,0.0339,0.5161
