Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives
C05,285,54,81,501,126
F10,247,59,87,480,115
D03,408,1,12,433,29
M04,160,42,43,288,226
N14,143,25,29,226,105
D09,128,20,3,154,101
G05,115,11,4,134,128
H04,82,10,2,96,184
NB14,69,8,8,93,687
TOTAL,1637,230,269,2405,1701
