variable,mean,min,median,max
calls,4.673434856175973,0,4.0,21
male,3.7055837563451774,0,3.0,14
female,0.9678510998307953,0,1.0,8
duet,0.43485617597292725,0,0.0,6
hour_bucket,,2023-04-14T06:00:00.0,2023-05-06T08:00:00.0,2023-05-27T09:00:00.0
