location,male,female,duet,individual
C05,0.5571,0.3095,0.0429,0.8666
H07,0.181,0.1143,0.0571,0.2953
K09,0.0476,0.0238,0.0095,0.0714
N14,0.0524,0.0143,0.0048,0.0667
H15,0.0143,0.0,0.0,0.0143
TOTAL,0.1705,0.0924,0.0229,0.2629
