Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives
C05,846,65,144,1199,991
G05,809,10,20,859,1590
F10,619,32,86,823,1095
H04,562,6,15,598,3062
M04,212,107,88,495,2582
D03,350,5,40,435,330
D09,293,11,9,322,341
N14,100,15,15,145,130
N20,47,24,9,89,940
A05,55,0,0,55,355
TOTAL,3893,275,426,5020,11416
