Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives
F09,315,55,31,432,87
D09,166,50,18,252,24
H04,135,28,29,221,182
N20,122,18,22,184,25
C05,137,16,4,161,7
D03,117,11,2,132,57
M04,47,31,17,112,35
H09,78,5,8,99,42
WD05,51,1,6,64,8
WB09,48,4,5,62,15
T10,31,4,1,37,2
J11,20,1,7,35,8
K09,12,2,3,20,43
E07,6,0,0,6,3
J07,5,0,0,5,9
E04,4,0,0,4,3
TOTAL,1294,226,153,1826,550
