Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives
C05,440,46,68,622,8
N20,204,64,39,346,69
M04,196,53,43,335,48
D03,216,4,23,266,13
D09,143,17,9,178,10
NB14,112,30,11,164,40
H04,85,33,12,142,30
N14,35,1,7,50,3
TOTAL,1431,248,212,2103,221
