location,male,female,duet,individual
C05,0.4207,0.1536,0.0735,0.5743
G05,0.489,0.0843,0.0489,0.5733
D03,0.5409,0.0301,0.02,0.571
N14,0.2884,0.1383,0.0506,0.4267
H04,0.3575,0.0624,0.0422,0.4199
M04,0.2988,0.0868,0.0384,0.3856
D09,0.2538,0.1119,0.0401,0.3657
F10,0.2091,0.1214,0.0371,0.3305
A05,0.1987,0.005,0.0017,0.2037
N20,0.0601,0.0273,0.0027,0.0874
TOTAL,0.3117,0.0821,0.0355,0.3938
