Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives
C05,278,37,29,373,19
B12M,220,2,11,244,23
N20,135,22,24,205,33
WD05,120,6,10,146,29
M04,73,30,17,137,112
M01,42,11,10,73,32
A11,19,2,0,21,64
A01,0,1,0,1,6
TOTAL,887,111,101,1200,318
