Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives,Close,Low_Noise
F09,388,48,82,600,65,35,89
C05,368,69,72,581,66,48,138
D09,309,56,27,419,72,34,80
N20,166,36,49,300,59,53,104
WB09,198,2,4,208,48,6,32
M04,138,30,9,186,86,27,54
WD05,145,1,6,158,49,19,51
H04,102,6,9,126,59,9,27
D03,61,30,13,117,62,5,15
S13T,46,42,14,116,16,11,23
K09,45,27,0,72,29,7,16
E07,47,1,2,52,8,5,11
KS06,31,15,0,46,61,8,12
N14,16,0,0,16,4,2,4
T10,12,0,1,14,5,0,0
A11,4,0,0,4,20,0,1
J11,2,1,0,3,26,0,1
TOTAL,2078,364,288,3018,735,269,658
