variable,mean,min,median,max
calls,7.562607204116638,0,7.0,29
male,5.7066895368782165,0,5.0,20
female,1.8559176672384219,0,1.0,9
duet,0.9039451114922813,0,1.0,8
hour_bucket,,2022-12-17T08:00:00.0,2023-01-17T08:00:00.0,2023-02-17T09:00:00.0
