variable,mean,min,median,max
calls,1.3142857142857143,0,1.0,8
male,0.8523809523809524,0,1.0,6
female,0.46190476190476193,0,0.0,4
duet,0.11428571428571428,0,0.0,3
hour_bucket,,2021-12-18T09:00:00.0,2022-01-02T00:00:00.0,2022-01-16T15:00:00.0
