variable,mean,min,median,max
calls,2.1313131313131315,0,2.0,10
male,1.6363636363636365,0,1.0,7
female,0.494949494949495,0,0.0,3
duet,0.31313131313131315,0,0.0,3
hour_bucket,,2021-11-25T08:00:00.0,2021-11-30T12:00:00.0,2021-12-05T16:00:00.0
