location,male,female,duet,individual
C05,0.4895,0.1506,0.1046,0.6401
N14,0.1029,0.0441,0.0184,0.147
WD07,0.0644,0.0038,0.0038,0.0682
TOTAL,0.2189,0.0662,0.0423,0.2851
