location,male,female,duet,individual
C05,0.8481,0.1903,0.1135,1.0384
N20,0.4057,0.172,0.0651,0.5777
M04,0.403,0.1619,0.0725,0.5649
D03,0.399,0.0451,0.0384,0.4441
D09,0.2563,0.0438,0.0152,0.3001
NB14,0.2113,0.0704,0.0189,0.2817
H04,0.1667,0.0773,0.0206,0.244
N14,0.0701,0.0134,0.0117,0.0835
TOTAL,0.345,0.0968,0.0445,0.4418
