Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives
C05,208,48,44,344,28
D03,312,6,12,342,19
G05,261,21,29,340,22
N14,141,52,30,253,24
H04,187,12,25,249,49
M04,156,29,23,231,14
D09,128,43,24,219,21
F10,102,50,22,196,15
A05,118,2,1,122,35
N20,21,9,1,32,2
TOTAL,1634,272,211,2328,229
