location,male,female,duet,individual
C05,0.5421,0.1776,0.1215,0.7197
G05,0.086,0.0054,0.0054,0.0914
M05,0.0724,0.0045,0.0,0.0769
TOTAL,0.2335,0.0625,0.0423,0.296
