Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives,Close,Low_Noise
F09,398,74,81,634,62,38,79
C05,303,60,41,445,25,39,83
H04,153,35,60,308,36,36,54
N20,121,13,41,216,47,54,87
D09,154,30,7,198,25,8,45
M04,81,59,19,178,92,16,43
WD05,139,7,13,172,25,31,54
B12M,144,5,1,151,16,2,23
H09,89,12,20,141,21,11,36
D03,98,18,2,120,35,7,24
M01,23,10,7,47,13,9,10
A11,25,3,8,44,6,6,12
K09,11,4,2,19,42,2,1
J11,6,0,0,6,9,2,1
J07,1,2,1,5,5,0,0
H14,1,1,0,2,1,0,0
A01,0,0,0,0,1,,
TOTAL,1747,333,303,2686,461,,
