Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives
C05,108,56,9,182,41
H07,26,12,12,62,46
K09,8,3,2,15,35
N14,10,2,1,14,8
H15,3,0,0,3,32
B02,0,0,0,0,99
TOTAL,155,73,24,276,261
