location,male,female,duet,individual
C05,0.8935,0.1886,0.13,1.0821
G05,0.7564,0.0274,0.0182,0.7838
F10,0.6552,0.1097,0.0799,0.7649
H04,0.5208,0.019,0.0135,0.5398
M04,0.2708,0.176,0.0794,0.4468
D03,0.352,0.0406,0.0361,0.3926
D09,0.2753,0.0182,0.0082,0.2935
N14,0.192,0.0501,0.025,0.2421
N20,0.0505,0.0298,0.0081,0.0803
A05,0.0502,0.0,0.0,0.0502
TOTAL,0.4017,0.0659,0.0398,0.4676
